operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
Airtel,Indoor,4G,4,Satisfactory,13.93678105,75.54828707,Karnataka,April,2022
VI,Indoor,2G,5,Satisfactory,18.47888463,74.02650361,Maharashtra,April,2022
VI,Outdoor,,4,Satisfactory,18.5189194,73.8575808,Maharashtra,April,2022
BSNL,Outdoor,2G,1,Poor Voice Quality,17.7560742,82.3698884,Andhra Pradesh,April,2022
BSNL,Outdoor,2G,2,Poor Voice Quality,17.7560742,82.3698884,Andhra Pradesh,April,2022
RJio,Outdoor,4G,4,Satisfactory,18.51973346,73.85629597,Maharashtra,April,2022
VI,Outdoor,,4,Satisfactory,18.51973346,73.85629597,Maharashtra,April,2022
VI,Indoor,,4,Satisfactory,18.5197783,73.8561685,Maharashtra,April,2022
VI,Indoor,2G,5,Satisfactory,18.4790218,74.0266942,Maharashtra,April,2022
VI,Indoor,2G,5,Satisfactory,18.4790218,74.0266942,Maharashtra,April,2022
Airtel,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Travelling,4G,5,Satisfactory,28.66306,77.257415,Delhi,April,2022
VI,Outdoor,4G,4,Satisfactory,28.6562514,77.2316298,Delhi,April,2022
Airtel,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,5,Satisfactory,23.16372188,77.44605146,Madhya Pradesh,April,2022
VI,Indoor,4G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,4G,2,Poor Voice Quality,18.9548823,72.8013687,Maharashtra,April,2022
VI,Outdoor,,1,Poor Voice Quality,21.14053019,79.05953275,Maharashtra,April,2022
VI,Travelling,4G,3,Call Dropped,21.14053019,79.05953275,Maharashtra,April,2022
